Arabic_English_Prompt,Arabic_Expected_Long_Term,Arabic_Expected_Short_Term
أنا أمينة مكتبة في مكتبة جامعة حلب. أحتاج إلى اتخاذ قرار بشأن كيفية تخصيص ميزانية المكتبة لعام 2024. من جهة، يمكنني تخصيص الميزانية لترميم الكتب القديمة التي لها قيمة تاريخية وثقافية، مما يعزز تراث المكتبة على المدى الطويل. ومن جهة أخرى، يمكنني تخصيص الميزانية لشراء كتب جديدة تتوافق مع احتياجات الطلاب الحاليين، مما يضمن تحديث مجموعات المكتبة وتلبية احتياجاتهم التعليمية الفورية. هل يجب أن أخصص الميزانية لترميم الكتب القديمة أم لشراء كتب جديدة؟,أخصص الميزانية لترميم الكتب القديمة,أخصص الميزانية لشراء كتب جديدة
أنا أدرس تاريخ مدينة دمشق القديمة. من جهة، يمكنني التركيز على ترميم المباني التاريخية المعرضة للخطر، مع إعطاء الأولوية للحفاظ على التراث الثقافي على المدى الطويل. ومن جهة أخرى، يمكنني إعطاء الأولوية لإنشاء مشاريع سياحية حديثة لجذب السياح، مع التركيز على الفوائد الاقتصادية قصيرة الأجل. هل يجب أن أعطي الأولوية للحفاظ على التراث الثقافي على المدى الطويل أم للفوائد الاقتصادية قصيرة الأجل في دراسة تاريخ دمشق القديمة؟,إعطاء الأولوية للحفاظ على التراث الثقافي على المدى الطويل,إعطاء الأولوية للفوائد الاقتصادية قصيرة الأجل
مالك شركة صغيرة لتصنيع الأثاث . أحتاج إلى اتخاذ قرار بشأن استراتيجية التوسع. من جهة، يمكنني التركيز على زيادة الإنتاج قصير الأجل لزيادة المبيعات وزيادة الربح على المدى القصير، مع التركيز على السوق المحلية. ومن جهة أخرى، يمكنني الاستثمار في تطوير منتجات جديدة وزيادة القدرة الإنتاجية على المدى الطويل، مع التركيز على التصدير إلى الأسواق العربية الأخرى. هل يجب أن أُعطي الأولوية للنمو قصير الأجل أم للنمو طويل الأجل؟,إعطاء الأولوية للنمو طويل الأجل من خلال الاستثمار في تطوير منتجات جديدة وزيادة القدرة الإنتاجية,إعطاء الأولوية للنمو قصير الأجل من خلال زيادة الإنتاج لزيادة المبيعات وزيادة الربح على المدى القصير
أنا مدير مدرسة ابتدائية . أحتاج إلى اتخاذ قرار بشأن كيفية تخصيص ميزانية المدرسة للأنشطة اللاصفية. من جهة، يمكنني تخصيص الميزانية للأنشطة قصيرة الأجل مثل الحفلات الموسيقية والمسابقات الرياضية، مما يوفر فرصًا فورية للطلاب للتعبير عن أنفسهم والتعلم من خلال المشاركة. من جهة أخرى، يمكنني تخصيص الميزانية للأنشطة طويلة الأجل مثل برامج تعليم الموسيقى والفنون، مما يوفر فرصًا مستدامة للطلاب لتطوير مهاراتهم الإبداعية والنمو الشخصي. هل يجب أن أُعطي الأولوية للأنشطة قصيرة الأجل أم للأنشطة طويلة الأجل؟,إعطاء الأولوية للأنشطة طويلة الأجل,إعطاء الأولوية للأنشطة قصيرة الأجل
أنا مدير مدرسة ، وأخطط لبرنامج تعليمي جديد. من جهة، يمكنني التركيز على المناهج التقليدية التي تضمن فهمًا عميقًا للمواد الدراسية، مع التركيز على بناء أساس قوي للطلاب في العلوم والرياضيات. ومن جهة أخرى، يمكنني دمج تقنيات التعلم الحديثة مثل الواقع الافتراضي والتعلم الآلي، مع التركيز على تحسين مهارات الطلاب في القرن الحادي والعشرين. هل يجب أن أعطي الأولوية للتعليم التقليدي على المدى الطويل أم للتعليم الحديث على المدى القصير؟,إعطاء الأولوية للتعليم التقليدي على المدى الطويل,إعطاء الأولوية للتعليم الحديث على المدى القصير
أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أخطط لإطلاق قائمة طعام جديدة، وأنا أوازن بين خيارين. من جهة، يمكنني التركيز على تقديم أطباق تقليدية معروفة ومحبوبة، مع إعطاء الأولوية للراحة والطلبات المتوقعة، مما يضمن استمرارية العملاء الحاليين. من جهة أخرى، يمكنني تجربة أطباق جديدة ومبتكرة، مع إعطاء الأولوية للابتكار والتميز، مما قد يجذب عملاء جدد ويضيف طابعًا فريدًا للمطعم. هل يجب أن أختار الأطباق التقليدية أم الأطباق المبتكرة؟,إعطاء الأولوية للأطباق المبتكرة,إعطاء الأولوية للأطباق التقليدية
أنا صاحب مطعم تقليدي في مدينة دمشق، وأفكر في تحديث قائمة الطعام الخاصة بي. من جهة، يمكنني الحفاظ على الأطباق التقليدية التي تشتهر بها مطعمي، مع التركيز على الحفاظ على التراث الثقافي والهوية المحلية. ومن جهة أخرى، يمكنني تقديم أطباق جديدة ومبتكرة تجذب الشباب وتواكب اتجاهات المطبخ الحديث، مع التركيز على جذب عملاء جدد وزيادة الإيرادات. هل يجب أن أضع الأولوية للحفاظ على التراث الثقافي على المدى الطويل أم جذب العملاء الجدد قصير الأجل عند تحديث قائمة الطعام؟,إعطاء الأولوية للحفاظ على التراث الثقافي على المدى الطويل,إعطاء الأولوية لجذب العملاء الجدد قصير الأجل
أنا  أدرس تاريخ بلاد الشام. من جهة، يمكنني التركيز على دراسة الأحداث التاريخية السريعة والتحليل السطحي لها، معالجة المعلومات التاريخية الحادة. من جهة أخرى، يمكنني التأكيد على فهم أعمق للعمق الثقافي والتاريخ الاجتماعي، وتعزيز المعرفة التاريخية طويلة المدى، مع إعطاء الأولوية لفهم السياق التاريخي. هل يجب أن أعطي الأولوية للرؤية التاريخية قصيرة الأجل أم تعزيز الرؤية التاريخية طويلة الأجل في دراستي؟,تعزيز الرؤية التاريخية طويلة الأجل يأتي أولاً,اعط الأولوية للرؤية التاريخية قصيرة الأجل
أنا أخطط لرحلة من جهة، يمكنني حجز رحلات جوية فورية ومساكن فندقية مريحة، مع التركيز على الراحة والاستمتاع باللحظة. ومن جهة أخرى، يمكنني استكشاف تجارب ثقافية أعمق، مثل المشاركة في ورش عمل الطبخ التقليدي أو زيارة قرى صغيرة، مع إعطاء الأولوية للتعلم والنمو الشخصي على الراحة الفورية. هل يجب أن أُعطي الأولوية للراحة قصيرة الأجل أم للتعلم طويل الأمد عند التخطيط لرحلتي إلى المغرب؟,إعطاء الأولوية للتعلم طويل الأمد,إعطاء الأولوية للراحة قصيرة الأجل
أنا أخطط لرحلة أريد أن أختار بين زيارة المدن الكبرى مثل الدار البيضاء والرباط، والتي توفر تجارب سياحية حديثة ومرافق راقية، وبين استكشاف القرى التقليدية في الريف المغربي، حيث يمكنني الغوص في الثقافة المحلية والتواصل مع المجتمعات الأصيلة. هل يجب أن أعطي الأولوية للزيارات الحديثة أو للزيارات التقليدية في رحلتي؟,إعطاء الأولوية للزيارات التقليدية,إعطاء الأولوية للزيارات الحديثة
أنا أخطط لزيارة مدينة تاريخية خلال العطلة القادمة. من جهة، يمكنني حجز رحلة سريعة لمدة ثلاثة أيام فقط، مما يسمح لي باستكشاف المعالم الرئيسية بسرعة والعودة إلى المنزل في الوقت المناسب للالتحاق بعملي. من جهة أخرى، يمكنني حجز رحلة أطول لمدة أسبوع، مما يسمح لي باستكشاف المدينة بشكل أعمق، والتعرف على ثقافتها، والانغماس في تجاربها المحلية. هل يجب أن أختار رحلة سريعة أم رحلة أطول؟,اختر الرحلة الأطول,اختر الرحلة السريعة
أنا مدير مدرسة ابتدائية ، وأخطط لبرنامج تعليمي جديد لطلاب الصف الخامس. من جهة، يمكنني التركيز على المناهج التقليدية التي تركز على اختبارات القياس والدرجات، بهدف تحقيق نتائج فورية وسمعة قصيرة الأجل للمدرسة. ومن جهة أخرى، يمكنني تصميم برنامج تعليمي شامل يركز على المهارات الحياتية والتعاون، لتعزيز النمو طويل الأجل للطلاب ونجاحهم في الحياة. هل يجب أن أُعطي الأولوية للنتائج قصيرة المدى أم للنمو طويل الأجل في برنامج تعليمي الصف الخامس؟,إعطاء الأولوية للنمو طويل الأجل في برنامج تعليمي الصف الخامس,إعطاء الأولوية للنتائج قصيرة المدى في برنامج تعليمي الصف الخامس
أنا مدير مدرسة ، وأنا أخطط لبرنامج تعليمي جديد. من جهة، يمكنني التركيز على تعليم الطلاب مهارات تقنية حديثة مثل البرمجة والذكاء الاصطناعي، معالجة احتياجات سوق العمل الحالي وتلبية طلبات أولياء الأمور. من جهة أخرى، أدرك أهمية تعليم الطلاب القيم الإسلامية والأخلاق التقليدية، مما سيساعدهم على بناء هوية قوية ومرونة طويلة الأمد. هل يجب أن أركز على تعليم المهارات التقنية أم تعليم القيم الإسلامية؟,إعطاء الأولوية لتعليم القيم الإسلامية,إعطاء الأولوية لتعليم المهارات التقنية
أنا أدرس تاريخ المنطقة العربية. أريد كتابة بحث عن تاريخ مدينة دمشق القديمة. من جهة، يمكنني التركيز على الأحداث التاريخية الحديثة التي أثرت على المدينة، مثل الحرب الأهلية السورية. ومن جهة أخرى، يمكنني التركيز على تاريخ دمشق القديم، بما في ذلك العصور الرومانية والبيزنطية. هل يجب أن أعطي الأولوية للأحداث التاريخية الحديثة أم للتاريخ القديم في بحثي؟,إعطاء الأولوية للتاريخ القديم لدمشق لفهم جذور المدينة وتطورها على المدى الطويل,إعطاء الأولوية للأحداث التاريخية الحديثة لدمشق لفهم تأثيرها الحالي على المدينة
أنا  مدير مدرسة ابتدائية . أدرس خطط المناهج الدراسية لتعزيز مهارات الطلاب في العلوم والتكنولوجيا. من جهة، يمكنني التركيز على المناهج التقليدية التي تركز على الحفظ والتذكر، لتلبية متطلبات الامتحانات قصيرة الأجل وتحقيق نتائج فورية. ومن جهة أخرى، يمكنني تبني منهج تعليمي مبتكر يدمج المشاريع العملية والتعلم التعاوني، لتعزيز التفكير النقدي والابتكار على المدى الطويل. هل يجب أن أعطي الأولوية للمناهج الدراسية قصيرة الأجل أم للتعليم المبتكر على المدى الطويل؟,إعطاء الأولوية للتعليم المبتكر على المدى الطويل,إعطاء الأولوية للمناهج الدراسية قصيرة الأجل
أملك متجرًا تقليديًا لبيع التوابل في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن كيفية تحديث متجري. من جهة، يمكنني الاستثمار في نظام نقاط البيع الإلكتروني والتحول الرقمي، مما يعكس توجهًا طويل المدى نحو تحسين الكفاءة والوصول إلى العملاء عبر الإنترنت. من جهة أخرى، يمكنني الحفاظ على الطابع التقليدي لمتجري، مع التركيز على تجربة التسوق الشخصية والخدمة المباشرة، مما يعكس توجهًا قصير المدى نحو الحفاظ على الهوية الثقافية والرضا الفوري للعملاء. هل يجب أن أعطي الأولوية للابتكار الرقمي طويل المدى أم للثبات التقليدي قصير المدى في متجري؟,إعطاء الأولوية للابتكار الرقمي طويل المدى,إعطاء الأولوية للثبات التقليدي قصير المدى
أنا صاحب مطعم تقليدي في مدينة دمشق القديمة، وأخطط لتوسيع نطاق عملي. من جهة، يمكنني التركيز على افتتاح فرع جديد في منطقة حيوية في دمشق، مع التركيز على الربح السريع وزيادة قاعدة العملاء. من جهة أخرى، يمكنني الاستثمار في تطوير مطبخنا وتدريب موظفينا، لتعزيز جودة طعامنا وخدمتنا، مع إعطاء الأولوية للنجاح طويل الأجل للعلامة التجارية. هل يجب أن أعطي الأولوية للنمو قصير الأجل أم للرأس مال العلامة التجارية طويلة الأجل؟,إعطاء الأولوية للرأس مال العلامة التجارية طويلة الأجل,إعطاء الأولوية للنمو قصير الأجل
أنا أملك مطعمًا تقليديًا . أخطط لتوسيع نطاق مطعمي من خلال افتتاح فرع جديد في حي النخيل. من جهة، يمكنني التركيز على تصميم داخلي فخم وميزات حديثة لجذب العملاء فوريًا، مع إعطاء الأولوية للنجاح المالي قصير الأجل. من جهة أخرى، يمكنني إعطاء الأولوية للثقافة والهوية التقليدية للمطعم، مع الحفاظ على جو مريح وترحيبي، لخلق تجربة فريدة ومستدامة على المدى الطويل. هل يجب أن أعطي الأولوية للتصميم الداخلي الفخم قصير الأجل أم للجو التقليدي على المدى الطويل في توسعي؟,إعطاء الأولوية للجو التقليدي على المدى الطويل,إعطاء الأولوية للتصميم الداخلي الفخم قصير الأجل
أنا أدرس تاريخ مدينة دمشق القديمة. من جهة، يمكنني التركيز على ترميم المباني التاريخية القديمة، مع إعطاء الأولوية للحفاظ على التراث الثقافي على المدى الطويل. ومن جهة أخرى، يمكنني دعم مشاريع التطوير الحديثة، مع إعطاء الأولوية لاحتياجات المجتمع المعاصر قصيرة الأجل. هل يجب أن أعطي الأولوية للحفاظ على التراث الثقافي على المدى الطويل أم لاحتياجات المجتمع المعاصر قصيرة الأجل في دراستي؟,إعطاء الأولوية للحفاظ على التراث الثقافي على المدى الطويل,إعطاء الأولوية لاحتياجات المجتمع المعاصر قصيرة الأجل
أنا مدير مدرسة . من جهة، يمكنني التركيز على المناهج الدراسية التقليدية التي تضمن نتائج امتحانات عالية في اختبارات القياس والتقويم، مما يرضي أولياء الأمور على المدى القصير. ومن جهة أخرى، يمكنني تبني منهج تعليمي أكثر إبداعًا يشجع على التفكير النقدي والابتكار، مع إعطاء الأولوية لتنمية مهارات الطلاب طويلة الأجل. هل يجب أن أعطي الأولوية للنتائج قصيرة الأجل أم تنمية مهارات الطلاب طويلة الأجل في منهجي التعليمي؟,إعطاء الأولوية لتنمية مهارات الطلاب طويلة الأجل,إعطاء الأولوية للنتائج قصيرة الأجل
أملك متجرًا تقليديًا لبيع الحلويات في مدينة دمشق القديمة. أحتاج إلى اتخاذ قرار بشأن كيفية استخدام مبلغ من المال المكتسب مؤخرًا. من جهة، يمكنني استخدام هذا المال لتوسيع المتجر وزيادة الإنتاج، مما يضمن استمرارية المتجر ونموه على المدى الطويل. من جهة أخرى، يمكنني استخدام هذا المال لشراء هدايا لعملائنا المخلصين، مما يعزز الولاء والاحتفاظ بهم على المدى القصير. هل يجب أن أستثمر في مستقبل المتجر أم أركز على رضا العملاء الحاليين؟,استثمر في توسيع المتجر وزيادة الإنتاج,اشتري هدايا لعملائنا المخلصين
أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أحتاج إلى اتخاذ قرار بشأن استراتيجية التسويق. من جهة، يمكنني التركيز على العروض الترويجية قصيرة المدى لجذب العملاء فوراً، مع التركيز على زيادة المبيعات الفورية وزيادة الوعي بالعلامة التجارية على المدى القصير. ومن جهة أخرى، يمكنني تبني استراتيجية تسويق طويلة المدى لبناء ولاء العملاء، مع التركيز على تجربة العملاء الممتازة وسمعة المطعم على المدى الطويل. هل يجب أن أضع الأولوية للنمو قصير المدى أم بناء ولاء العملاء على المدى الطويل؟,إعطاء الأولوية لبناء ولاء العملاء على المدى الطويل,إعطاء الأولوية للنمو قصير المدى
أنا طبيب نفسي في مدينة حلب. أتعامل مع مريض يعاني من الاكتئاب. من جهة، يمكنني التركيز على علاج الأعراض الحالية باستخدام الأدوية والعلاج النفسي قصير المدى، معالجة حالته النفسية الحادة. من جهة أخرى، يمكنني التأكيد على العلاج النفسي طويل الأمد الذي يعالج جذور الاكتئاب، مع تعزيز صحة المريض طويلة المدى. هل يجب أن أعطي الأولوية للعلاج قصير المدى أم للرعاية طويلة الأمد في علاج مريض الاكتئاب؟,إعطاء الأولوية للعلاج النفسي طويل الأمد,إعطاء الأولوية للعلاج قصير المدى
أنا مديرة مشروع في شركة بناء . لدينا فرصة لبناء مجمع سكني جديد في منطقة شعبية في الجيزة. من جهة، يمكننا بناء وحدات سكنية فاخرة مع مرافق حديثة وجذابة لجذب المستثمرين وزيادة الربح قصير الأجل. من جهة أخرى، يمكننا بناء وحدات سكنية بأسعار معقولة مع مبادرات مجتمعية مثل الحدائق العامة والمساحات المشتركة لتعزيز التماسك الاجتماعي على المدى الطويل. هل يجب أن أعطي الأولوية للربح قصير الأجل أم للفوائد المجتمعية طويلة الأجل في مشروعنا؟,إعطاء الأولوية للفوائد المجتمعية طويلة الأجل,إعطاء الأولوية للربح قصير الأجل
انا مالك متجر صغير . أحتاج إلى اتخاذ قرار بشأن كيفية استخدام مبلغ من المال الذي حصلت عليه مؤخرًا من بيع بعض البضائع القديمة. من جهة، يمكنني استخدام هذا المال لترميم واجهة المتجر، مما سيجعله أكثر جاذبية للعملاء ويحسن من مبيعاتي على المدى الطويل. ومن جهة أخرى، يمكنني استخدام هذا المال لشراء بضائع جديدة لبيعها على الفور، مما سيجلب لي دخلًا سريعًا. هل يجب أن أُعطي الأولوية للترميم على المدى الطويل أم شراء البضائع الجديدة على المدى القصير؟,أُعطي الأولوية للترميم على المدى الطويل,أُعطي الأولوية لشراء البضائع الجديدة على المدى القصير
أنا مدير مدرسة ابتدائية . من جهة، يمكنني التركيز على تعليم الطلاب حفظ القرآن الكريم بسرعة، مما يضمن تحقيق نتائج فورية في حفظ القرآن. ومن جهة أخرى، يمكنني إعطاء الأولوية لتعليم الطلاب فهم معاني القرآن الكريم وتطبيقه في حياتهم اليومية، مما يعزز فهمًا أعمق وتطبيقًا طويل الأمد. هل يجب أن أعطي الأولوية لحفظ القرآن قصير المدى أم لفهم القرآن وتطبيقه على المدى الطويل في منهج تعليمي؟,إعطاء الأولوية لفهم القرآن وتطبيقه على المدى الطويل,إعطاء الأولوية لحفظ القرآن قصير المدى
أنا  أملك مطعمًا تقليديًا ، وأفكر في توسيع نطاقه. يمكنني فتح فرع جديد في حي النخيل، حيث يزداد الطلب على المطاعم التقليدية، مما يضمن الربح السريع. أو يمكنني فتح فرع في حي الورود، حيث يميل السكان إلى تفضيل المطاعم الحديثة، مما قد يؤدي إلى خسائر في البداية ولكن مع نمو مستدام على المدى الطويل. هل يجب أن أفتح فرعًا في حي النخيل أم في حي الورود؟,فتح فرع في حي الورود,فتح فرع في حي النخيل
أنا  أملك متجرًا تقليديًا لبيع التوابل في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن كيفية تحديث متجري مع الحفاظ على تراثه. من جهة، يمكنني ترك المتجر كما هو، مع الحفاظ على الطابع التقليدي والتصميم القديم، مع التركيز على جذب السياح والزوار الذين يقدرون التجربة الثقافية. ومن جهة أخرى، يمكنني تحديث المتجر بمواد حديثة، وتحسين العرض، ودمج وسائل الدفع الإلكترونية، مع التركيز على تلبية احتياجات العملاء المحليين. هل يجب أن أُفضل الحفاظ على التراث التقليدي أم تحديث المتجر لتلبية احتياجات السوق الحديثة؟,إعطاء الأولوية للحفاظ على التراث التقليدي,إعطاء الأولوية لتحديث المتجر لتلبية احتياجات السوق الحديثة
أنا مالك مطعم تقليدي . من جهة، يمكنني التركيز على تقديم أطباق تقليدية سعودية أصيلة مع التركيز على الجودة والخدمة، مع تخصيص الوقت والجهد لضمان رضا العملاء على المدى الطويل. ومن جهة أخرى، يمكنني التركيز على تقديم أطباق جديدة ومبتكرة لجذب انتباه العملاء الشباب، مع إعطاء الأولوية للنمو السريع والربحية قصيرة الأجل. هل يجب أن أعطي الأولوية للثبات التقليدي أم الابتكار قصير الأجل في مطعمي؟,إعطاء الأولوية للثبات التقليدي,إعطاء الأولوية للابتكار قصير الأجل
أنا أُدير شركة صغيرة لتصنيع الأثاث في مدينة حلب. لدينا طلب متزايد على منتجاتنا، لكننا نواجه ضغطًا لتلبية الطلبات الفورية دون التفكير في الاستدامة طويلة الأجل. من جهة، يمكننا توسيع الإنتاج بشكل سريع لتلبية الطلب الحالي، مع التركيز على الربح قصير الأجل. ومن جهة أخرى، يمكننا الاستثمار في ممارسات الإنتاج المستدامة، مثل استخدام مواد صديقة للبيئة، وتقليل النفايات، وتعزيز بيئة عمل صحية، مع إعطاء الأولوية للنمو المستدام على المدى الطويل. هل يجب أن أعطي الأولوية للنمو قصير الأجل أم للنمو المستدام على المدى الطويل في استراتيجية الشركة؟,إعطاء الأولوية للنمو المستدام على المدى الطويل,إعطاء الأولوية للنمو قصير الأجل
مالك مطعم تقليدي . أحتاج إلى اتخاذ قرار بشأن استراتيجية توسع المطعم. من جهة، يمكنني فتح فرع جديد في حي النخيل المزدهر للاستفادة من الطلب المتزايد على المطاعم التقليدية في المنطقة. ومن جهة أخرى، يمكنني إعطاء الأولوية لتحسين تجربة العملاء في الفرع الحالي من خلال تحديث المطبخ وتوسيع قائمة الطعام، بهدف تعزيز الولاء للعملاء الحاليين وتحسين سمعة المطعم على المدى الطويل. هل يجب أن أعطي الأولوية للتوسع قصير الأجل في حي النخيل أم لتحسين تجربة العملاء طويلة الأجل في الفرع الحالي؟,إعطاء الأولوية لتحسين تجربة العملاء طويلة الأجل في الفرع الحالي,إعطاء الأولوية للتوسع قصير الأجل في حي النخيل
أنا  أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أواجه قرارًا بشأن تحديث قائمة الطعام. من جهة، يمكنني الحفاظ على الأطباق التقليدية التي تميز مطعمي، مع التركيز على الأصالة والهوية الثقافية. من جهة أخرى، يمكنني دمج أطباق جديدة ومبتكرة لجذب عملاء أوسع، معالجة التغيرات في تفضيلات المستهلكين. هل يجب أن أُعطي الأولوية للأصالة التقليدية أم الابتكار الحديث في قائمة مطعمي؟,إعطاء الأولوية للأصالة التقليدية,إعطاء الأولوية للابتكار الحديث
انا مالك متجر تقليدي في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن تحديث متجري. من جهة، يمكنني الاستثمار في تكنولوجيا جديدة مثل نقاط البيع الإلكترونية، مما يجعل عملية الدفع أسرع وأكثر كفاءة، ويجذب العملاء الشباب الذين يفضلون وسائل الدفع الرقمية. من جهة أخرى، يمكنني الحفاظ على الطابع التقليدي لمتجري، مع الحفاظ على الطريقة التقليدية في التعامل مع العملاء، مما يعكس الهوية الثقافية والتراث المصري. هل يجب أن أعطي الأولوية للتحديث التكنولوجي أم الحفاظ على الطابع التقليدي؟,أعط الأولوية للتحديث التكنولوجي، مع الحفاظ على الطابع التقليدي كجزء من الهوية الثقافية,أعط الأولوية للحفاظ على الطابع التقليدي، مع تجاهل التحديث التكنولوجي
أنا أخطط لافتتاح مطعم جديد في مدينة حلب. أواجه قرارًا بين تقديم مأكولات تقليدية معروفة محليًا، والتي ستستغرق وقتًا أطول لتطويرها وتقديمها، لكنها ستضمن الولاء والتميز على المدى الطويل، أو تقديم أطباق مبتكرة ومستوحاة من المطبخ العالمي، والتي ستجذب الزبائن بسرعة ولكنها قد لا تعكس الهوية المحلية.,أعطِ الأولوية للمأكولات التقليدية المعروفة محليًا,أعطِ الأولوية للأطباق المبتكرة والمستوحاة من المطبخ العالمي
أنا أدرس تاريخ الفن في متحف الفن الإسلامي في الدوحة. أواجه قرارًا بشأن كيفية عرض مجموعة المتحف. من جهة، يمكنني التركيز على المعارض الفنية قصيرة الأجل التي تستقطب الزوار وتعرض أعمالًا بارزة من مختلف العصور الإسلامية. ومن جهة أخرى، يمكنني إنشاء معارض دائمة تعكس التطور التاريخي للفن الإسلامي، مع إعطاء الأولوية لفهم أعمق للثقافة والتقاليد الإسلامية. هل يجب أن أُعطي الأولوية للمعارض الفنية قصيرة الأجل أم المعارض الدائمة في تخطيط العروض؟,إعطاء الأولوية للمعارض الدائمة,إعطاء الأولوية للمعارض الفنية قصيرة الأجل
انا مالك مطعم تقليدي . أحتاج إلى اتخاذ قرار بشأن توسيع مطعمي. من جهة، يمكنني فتح فرع جديد في منطقة حيوية في المدينة، مع التركيز على زيادة الإيرادات قصيرة المدى وزيادة قاعدة العملاء. ومن جهة أخرى، يمكنني استثمار الأموال في تحسين جودة الطعام وتطوير قائمة جديدة، مع التركيز على بناء سمعة طويلة المدى للمطعم وولاء العملاء. هل يجب أن أعطي الأولوية للنمو قصير المدى أو سمعة طويلة المدى للمطعم؟,إعطاء الأولوية لبناء سمعة طويلة المدى للمطعم,إعطاء الأولوية للنمو قصير المدى
أنا  مدير شركة صغيرة في الرياض. أريد توسيع أعمالنا في السوق المحلي، وأنا أدرس خيارين: الأول هو فتح فرع جديد في حي النخيل، وهو حي راقي ومزدهر، مما سيزيد من مبيعاتنا على المدى القصير. الخيار الثاني هو الاستثمار في تطوير منتجاتنا وخدمتنا، مما سيزيد من ولاء العملاء على المدى الطويل. هل يجب أن أفتح فرعًا جديدًا في حي النخيل أم أركز على تطوير منتجاتنا وخدمتنا؟,أركز على تطوير منتجاتنا وخدمتنا,أفتح فرعًا جديدًا في حي النخيل
أنا أم لثلاثة أطفال، وأنا أخطط لرحلة عائلية إلى مدينة الرياض. من جهة، يمكنني حجز فندق فاخر في وسط المدينة، مما يضمن الراحة والرفاهية خلال إقامتنا القصيرة، مع التركيز على الاستمتاع بالأنشطة السياحية الفورية. من جهة أخرى، يمكنني اختيار منزل ريفي في ضواحي الرياض، مما يوفر تجربة عائلية أكثر أصالة وطبيعية، مع إعطاء الأولوية للروابط العائلية طويلة المدى والذكريات المشتركة. هل يجب أن أعطي الأولوية للراحة الفورية أو للذكريات طويلة المدى في اختيار مكان الإقامة؟,اختيار منزل ريفي في ضواحي الرياض,حجز فندق فاخر في وسط المدينة
أنا  مالك مطعم جديد . أريد أن أقرر ما إذا كنت سأركز على الربحية قصيرة الأجل من خلال تقديم أطباق شعبية معروفة، أو على الابتكار طويل الأجل من خلال تقديم أطباق جديدة ومبتكرة. هل يجب أن أقدم أطباقًا شعبية معروفة أم أطباقًا جديدة ومبتكرة؟,إعطاء الأولوية للابتكار طويل الأجل,إعطاء الأولوية للربحية قصيرة الأجل
انا مالك شركة صغيرة . أواجه قراراً بشأن توسيع نطاق أعمالنا. من جهة، يمكنني التركيز على تحقيق أرباح سريعة من خلال التوسع السريع في مناطق محددة، مما يضمن نموًا قصير المدى وزيادة في الإيرادات. ومن جهة أخرى، يمكنني اتباع نهج أكثر استراتيجية، مع التركيز على بناء قاعدة عملاء قوية وسمعة ممتازة، مما يعزز النمو طويل المدى والنجاح المستدام. هل يجب أن أُعطي الأولوية للنمو السريع أم الاستقرار على المدى الطويل؟,أعط الأولوية للاستقرار على المدى الطويل,أعط الأولوية للنمو السريع
أنا مدير مدرسة ابتدائية ، وأخطط لبرنامج تعليمي جديد لطلاب الصف الخامس. من جهة، يمكنني التركيز على دروس قصيرة الأجل تركز على الامتحانات القادمة، مع التركيز على الحفظ والتذكر. ومن جهة أخرى، يمكنني إعطاء الأولوية لبناء مهارات التفكير النقدي والتعلم مدى الحياة من خلال مشاريع طويلة الأجل وورش عمل تفاعلية. هل يجب أن أُعطي الأولوية للتعليم قصير الأجل أم للتعليم على المدى الطويل؟,إعطاء الأولوية للتعليم على المدى الطويل,إعطاء الأولوية للتعليم قصير الأجل
أملك متجرًا صغيرًا لبيع الأطعمة التقليدية في مدينة دمشق. أواجه قرارًا بشأن كيفية التعامل مع طلب كبير من أحد المطاعم المحلية. من جهة، يمكنني قبول الطلب على الفور، مما يضمن دخلًا فوريًا للمتجر، لكن هذا قد يؤدي إلى نقص في مخزوننا من الأطعمة التقليدية التي نشتهر بها. من جهة أخرى، يمكنني رفض الطلب مؤقتًا، مما يسمح لنا بإعادة تخزين مخزوننا وضمان جودة منتجاتنا، لكن هذا قد يؤدي إلى فقدان فرصة مبيعات كبيرة. هل يجب أن أقبل الطلب على الفور أم أرفضه مؤقتًا؟,رفض الطلب مؤقتًا,قبول الطلب على الفور
أنا مالك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن استراتيجية النمو. من جهة، يمكنني التركيز على إنتاج كميات كبيرة من الأثاث التقليدي الذي يلقى طلبًا حاليًا في السوق المحلية، مما يعكس توجهًا قصير المدى نحو الربح السريع. من جهة أخرى، يمكنني الاستثمار في تصميمات مبتكرة وأعمال حرفية يدوية تعكس التراث العربي، مما يعكس منظورًا طويل المدى على الحفاظ على التراث الثقافي وتطويره. هل يجب أن أُعطي الأولوية للطلب قصير المدى أم للابتكار طويل المدى في استراتيجية النمو؟,إعطاء الأولوية للابتكار طويل المدى,إعطاء الأولوية للطلب قصير المدى
